foodnstuff	1	0	4	1000000	50000000
sigma-cosmetics	5	0	4	1300000	65000000
joesguns	10	0	4	1750000	87500000
nectar-net	20	0	4	2000000	100000000
hong-fang-tea	30	0	4	2500000	125000000
harakiri-sushi	40	0	4	3500000	175000000
neo-net	50	1	4	4500000	225000000
zer0	75	1	4	7500000	375000000
max-hardware	80	1	4	11000000	550000000
iron-gym	100	1	4	20000000	1000000000
phantasy	100	2	0	27500000	1375000000
silver-helix	150	2	2	55000000	2750000000
omega-net	200	2	8	85000000	4250000000
crush-fitness	250	2	0	40000000	2000000000
johnson-ortho	275	2	4	100000000	5000000000
the-hub	300	2	0	250000000	12500000000
comptek	350	3	8	300000000	15000000000
netlink	400	3	0	350000000	17500000000
rothman-uni	400	3	4	250000000	12500000000
catalyst	425	3	0	900000000	45000000000
summit-uni	450	3	4	200000000	10000000000
rho-construction	500	3	0	750000000	37500000000
millenium-fitness	500	3	0	100000000	5000000000
aevum-police	425	4	0	100000000	5000000000
alpha-ent	550	4	0	800000000	40000000000
syscore	600	4	0	600000000	30000000000
lexo-corp	700	4	16	1000000000	50000000000
snap-fitness	750	4	0	150000000	7500000000
global-pharm	775	4	16	2000000000	100000000000
applied-energetics	775	4	0	1200000000	60000000000
unitalife	790	4	32	1400000000	70000000000
univ-energy	790	4	32	1500000000	75000000000
nova-med	800	4	0	1500000000	75000000000
zb-def	800	4	0	1000000000	50000000000
zb-institute	750	5	4	1000000000	50000000000
vitalife	775	5	32	800000000	40000000000
titan-labs	795	5	32	1000000000	50000000000
solaris	800	5	0	900000000	45000000000
microdyne	800	5	16	900000000	45000000000
helios	800	5	0	500000000	25000000000
deltaone	810	5	0	1500000000	75000000000
icarus	810	5	0	1100000000	55000000000
zeus-med	810	5	0	1750000000	87500000000
omnia	825	5	0	1200000000	60000000000
defcomm	825	5	0	900000000	45000000000
galactic-cyber	825	5	0	500000000	25000000000
infocomm	830	5	0	750000000	37500000000
taiyang-digital	850	5	0	1100000000	55000000000
stormtech	850	5	0	1500000000	75000000000
aerocorp	850	5	0	1500000000	75000000000
clarkinc	900	5	0	15000000000	750000000000
omnitek	900	5	0	50000000000	2500000000000
nwo	900	5	0	40000000000	2000000000000
4sigma	900	5	0	25000000000	1250000000000
blade	900	5	0	20000000000	1000000000000
b-and-a	900	5	0	32000000000	1600000000000
ecorp	900	5	0	100000000000	5000000000000
fulcrumtech	900	5	64	2000000000	100000000000
megacorp	900	5	0	80000000000	4000000000000
kuai-gong	925	5	0	75000000000	3750000000000
fulcrumassets	999	5	0	1000000	50000000
powerhouse-fitness	1000	5	0	300000000	15000000000
